Cena,Cena za metr,Pokoje,Powierzchnia1,Link,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
1869000,21525,3,"86,83",https://www.otodom.pl/pl/oferta/mokotow-sielce-3-pokoje-87m2-taras-parking-ID4o2kg,"86,83 m²",pełna własność,3 ,do zamieszkania,5/6,"balkon, taras",780 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
459000,23418,1,"19,6",https://www.otodom.pl/pl/oferta/kawalerka-w-kamienicy-na-muranowie-dla-inwestora-ID4o2ka,"19,6 m²",pełna własność,Zapytaj,do wykończenia,2/4,Zapytaj,362 zł,Zapytaj,Zapytaj,miejskie
1120000,14000,2,80,https://www.otodom.pl/pl/oferta/elegancki-3-pokojowy-apartament-ID4o2k7,80 m²,pełna własność,2 ,do zamieszkania,6/6,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
550000,18285,1,"30,08",https://www.otodom.pl/pl/oferta/mieszkanie-pelczynskiego-ID4o2k2,"30,08 m²",Zapytaj,Zapytaj,Zapytaj,8/8,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
1150000,13529,4,85,https://www.otodom.pl/pl/oferta/4-pokoje-na-sadybie-ogrodek-cicho-ID4o2k0,85 m²,Zapytaj,4 ,do zamieszkania,parter/5,"balkon, ogródek",1 200 zł,Zapytaj,Zapytaj,Zapytaj
1532520,22000,3,"69,66",https://www.otodom.pl/pl/oferta/designerskie-mieszkanie-na-pradze-bezposrednio-ID4o2jZ,"69,66 m²",pełna własność,3 ,do zamieszkania,3/6,Zapytaj,800 zł,Zapytaj,Zapytaj,miejskie
570182,11213,2,"50,85",https://www.otodom.pl/pl/oferta/12min-do-metra-kredyt-2-blisko-ch-targowek-ID4o2jS,"50,85 m²",pełna własność,2 ,do wykończenia,1/2,balkon,355 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
785000,12077,3,65,https://www.otodom.pl/pl/oferta/duze-przestrzenne-na-bielanach-ID4o2jt,65 m²,Zapytaj,3 ,do zamieszkania,10/8,balkon,990 zł,Zapytaj,Zapytaj,Zapytaj
579000,11536,2,"50,19",https://www.otodom.pl/pl/oferta/okazja-2-pokoje-parking-komorka-lokatorska-ID4o2jr,"50,19 m²",pełna własność,2 ,do zamieszkania,2/2,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
699000,19417,2,36,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-inwestycyjne-wysokosc-3-3-m-ID4o2jq,36 m²,pełna własność,2 ,do zamieszkania,parter/4,"ogródek, taras",Zapytaj,Zapytaj,Zapytaj,Zapytaj
550000,18966,2,29,https://www.otodom.pl/pl/oferta/2-pokoje-blisko-ch-clif-ID4o2jm,29 m²,pełna własność,2 ,do wykończenia,3/10,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
2800000,22400,5,125,https://www.otodom.pl/pl/oferta/nowe-miasto-125m2-4-sypialnie-ciekawy-uklad-ID4o2jk,125 m²,pełna własność,5 ,do zamieszkania,3/5,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
949000,19730,3,"48,1",https://www.otodom.pl/pl/oferta/bez-prowizji-piekne-mieszkanie-w-super-lokalizacji-ID4o2iU,"48,1 m²",spółdzielcze wł. prawo do lokalu,3 ,do zamieszkania,> 10/15,balkon,700 zł,Zapytaj,tak,miejskie
1130000,16108,3,"70,15",https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-miejsce-postojowe-komorka-lok-ID4o2i2,"70,15 m²",pełna własność,3 ,do zamieszkania,4/6,Zapytaj,1 300 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
769000,13732,4,56,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-na-saskiej-kepie-ID4o2hO,56 m²,Zapytaj,4 ,do wykończenia,3/4,balkon,799 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
519000,18536,1,28,https://www.otodom.pl/pl/oferta/kawalerka-28m2-mokotow-woloska-woronicza-odd-ID4o2gt,28 m²,Zapytaj,Zapytaj,do zamieszkania,1/10,balkon,400 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
954380,17043,3,56,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-do-sprzedazy-ID4o2gi,56 m²,pełna własność,3 ,Zapytaj,1/4,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
609000,15037,1,"40,5",https://www.otodom.pl/pl/oferta/z-potencjalemfcggcfgcfgcfgcf-ID4o2ew,"40,5 m²",Zapytaj,Zapytaj,do remontu,3/5,balkon,Zapytaj,Zapytaj,Zapytaj,Zapytaj
490494,12740,2,"38,5",https://www.otodom.pl/pl/oferta/dostepne-2-pok-z-ogrodkiem-lub-balkonem-sprawdz-ID4o2eq,"38,5 m²",Zapytaj,2 ,do wykończenia,3/5,"balkon, ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
630895,11450,3,"55,1",https://www.otodom.pl/pl/oferta/duzy-balkon-9m2-dwie-lazienki-narozne-ID4o2ep,"55,1 m²",Zapytaj,3 ,do wykończenia,4/5,"balkon, ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
